id,name_short,name,name_long
0,Pro příjmy (technick,Pro příjmy (technický záznam),Pro příjmy (technický záznam)
1,Zeměď.lesnic.rybář.,"Zemědělství, lesní hospodářství a rybářství","Zemědělství, lesní hospodářství a rybářství"
10,Zeměď.lesnic.rybář.,"Zemědělství, lesní hospodářství a rybářství","Zemědělství, lesní hospodářství a rybářství"
101,Zeměď.potrav.rozvoj,Zemědělská a potravinářská činnost a rozvoj,Zemědělská a potravinářská činnost a rozvoj
1011,Zem.půdní fond,Zemědělský půdní fond a mimoprod. funkce zeměděl.,"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství"
101100,Zem.půdní fond,Zemědělský půdní fond a mimoprod. funkce zeměděl.,"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství"
101130,Zem.půdní fond,Zem.půd.fond a mimoprod. funkce zeměděl.-Zahr.rozvoj.spolup.,"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství-Zahraniční rozvojová spolupráce"
101131,Zem.půdní fond,Zem.půd.fond a mimoprod. funkce zeměděl.-Prevence soc.a krim,"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství-Program sociální prevence a prevence kriminality"
101132,Zem.půdní fond,Zem.půd.fond a mimoprod. funkce zeměděl.-Protidrog.politika,"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství-Program protidrogové politiky"
101133,Zem.půdní fond,Zem.půd.fond a mimoprod. funkce zeměděl.-Integr.romské kom.,"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství-Podpora projektů integrace příslušníků romské komunity"
101134,Zem.půdní fond,Zem.půd.fond a mimoprod. funkce zeměděl.-Příprava kriz.sit.,"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb."
1012,"Podn.,restr.zem",Podnikání a restr.v zemědělství a potravinářství,Podnikání a restrukturalizace v zemědělství a potravinářství
101200,"Podn.,restr.zem",Podnikání a restr.v zemědělství a potravinářství,Podnikání a restrukturalizace v zemědělství a potravinářství
101230,"Podn.,restr.zem",Podnik. a restr.v zeměděl. a potravinář.-Zahr.rozvoj.spolup.,Podnikání a restrukturalizace v zemědělství a potravinářství-Zahraniční rozvojová spolupráce
101231,"Podn.,restr.zem",Podnik. a restr.v zeměděl. a potravinář.-Prevence soc.a krim,Podnikání a restrukturalizace v zemědělství a potravinářství-Program sociální prevence a prevence kriminality
101232,"Podn.,restr.zem",Podnik. a restr.v zeměděl. a potravinář.-Protidrog.politika,Podnikání a restrukturalizace v zemědělství a potravinářství-Program protidrogové politiky
101233,"Podn.,restr.zem",Podnik. a restr.v zeměděl. a potravinář.-Integr.romské kom.,Podnikání a restrukturalizace v zemědělství a potravinářství-Podpora projektů integrace příslušníků romské komunity
101234,"Podn.,restr.zem",Podnik. a restr.v zeměděl. a potravinář.-Příprava kriz.sit.,Podnikání a restrukturalizace v zemědělství a potravinářství-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1013,Genet.potenciál,"Genetický potenciál hosp.zvířat, osiv a sádí","Genetický potenciál hospodářských zvířat, osiv a sádí"
101300,Genet.potenciál,"Genetický potenciál hosp.zvířat, osiv a sádí","Genetický potenciál hospodářských zvířat, osiv a sádí"
101330,Genet.potenciál,"Genet. potenciál hosp.zvířat,osiv a sádí-Zahr.rozvoj.spolup.","Genetický potenciál hospodářských zvířat, osiv a sádí-Zahraniční rozvojová spolupráce"
101331,Genet.potenciál,"Genet. potenciál hosp.zvířat,osiv a sádí-Prevence soc.a krim","Genetický potenciál hospodářských zvířat, osiv a sádí-Program sociální prevence a prevence kriminality"
101332,Genet.potenciál,"Genet. potenciál hosp.zvířat,osiv a sádí-Protidrog.politika","Genetický potenciál hospodářských zvířat, osiv a sádí-Program protidrogové politiky"
101333,Genet.potenciál,"Genet. potenciál hosp.zvířat,osiv a sádí-Integr.romské kom.","Genetický potenciál hospodářských zvířat, osiv a sádí-Podpora projektů integrace příslušníků romské komunity"
101334,Genet.potenciál,"Genet. potenciál hosp.zvířat,osiv a sádí-Příprava kriz.sit.","Genetický potenciál hospodářských zvířat, osiv a sádí-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb."
1014,Ozdrav.hosp.zv.,"Ozdrav.hosp.zvířat, plodin a zvl. veterinární péče","Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče"
101400,Ozdrav.hosp.zv.,"Ozdrav.hosp.zvířat, plodin a zvl. veterinární péče","Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče"
101430,Ozdrav.hosp.zv.,"Ozdr.hosp.zvířat,plodin a zvl.veter.péče-Zahr.rozvoj.spolup.","Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče-Zahraniční rozvojová spolupráce"
101431,Ozdrav.hosp.zv.,"Ozdr.hosp.zvířat,plodin a zvl.veter.péče-Prevence soc.a krim","Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče-Program sociální prevence a prevence kriminality"
101432,Ozdrav.hosp.zv.,"Ozdr.hosp.zvířat,plodin a zvl.veter.péče-Protidrog.politika","Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče-Program protidrogové politiky"
101433,Ozdrav.hosp.zv.,"Ozdr.hosp.zvířat,plodin a zvl.veter.péče-Integr.romské kom.","Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče-Podpora projektů integrace příslušníků romské komunity"
101434,Ozdrav.hosp.zv.,"Ozdr.hosp.zvířat,plodin a zvl.veter.péče-Příprava kriz.sit.","Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb."
1019,Ost.zem.činnost,Ostatní zemědělská a potrav. činnost a rozvoj,Ostatní zemědělská a potravinářská činnost a rozvoj
101900,Ost.zem.činnost,Ostatní zemědělská a potrav. činnost a rozvoj,Ostatní zemědělská a potravinářská činnost a rozvoj
101930,Ost.zem.činnost,Ost.zemědělská a potrav.činnost a rozvoj-Zahr.rozvoj.spolup.,Ostatní zemědělská a potravinářská činnost a rozvoj-Zahraniční rozvojová spolupráce
101931,Ost.zem.činnost,Ost.zemědělská a potrav.činnost a rozvoj-Prevence soc.a krim,Ostatní zemědělská a potravinářská činnost a rozvoj-Program sociální prevence a prevence kriminality
101932,Ost.zem.činnost,Ost.zemědělská a potrav.činnost a rozvoj-Protidrog.politika,Ostatní zemědělská a potravinářská činnost a rozvoj-Program protidrogové politiky
101933,Ost.zem.činnost,Ost.zemědělská a potrav.činnost a rozvoj-Integr.romské kom.,Ostatní zemědělská a potravinářská činnost a rozvoj-Podpora projektů integrace příslušníků romské komunity
101934,Ost.zem.činnost,Ost.zemědělská a potrav.činnost a rozvoj-Příprava kriz.sit.,Ostatní zemědělská a potravinářská činnost a rozvoj-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
102,Regulace zemědělské,"Regulace zemědělské produkce, organizace trhu a poskytování","Regulace zemědělské produkce, organizace trhu a poskytování podpor"
1021,Regul.trhu RV,Regulace trhu s produkty rostlinné výroby,Organizace trhu s produkty rostlinné výroby
102100,Regul.trhu RV,Regulace trhu s produkty rostlinné výroby,Organizace trhu s produkty rostlinné výroby
102130,Regul.trhu RV,Regulace trhu s produkty rostl.výroby-Zahr.rozvoj.spolup.,Organizace trhu s produkty rostlinné výroby-Zahraniční rozvojová spolupráce
102131,Regul.trhu RV,Regulace trhu s produkty rostl.výroby-Prevence soc.a krim,Organizace trhu s produkty rostlinné výroby-Program sociální prevence a prevence kriminality
102132,Regul.trhu RV,Regulace trhu s produkty rostl.výroby-Protidrog.politika,Organizace trhu s produkty rostlinné výroby-Program protidrogové politiky
102133,Regul.trhu RV,Regulace trhu s produkty rostl.výroby-Integr.romské kom.,Organizace trhu s produkty rostlinné výroby-Podpora projektů integrace příslušníků romské komunity
102134,Regul.trhu RV,Regulace trhu s produkty rostl.výroby-Příprava kriz.sit.,Organizace trhu s produkty rostlinné výroby-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1022,Regul.trh výr.RV,Reg.trhu s výr.vzniklými zprac.prod.rostl. výroby,Organizace trhu s výrobky vzniklými zpracováním produktů rostlinné výroby
102200,Regul.trh výr.RV,Reg.trhu s výr.vzniklými zprac.prod.rostl. výroby,Organizace trhu s výrobky vzniklými zpracováním produktů rostlinné výroby
102230,Regul.trh výr.RV,Reg.trhu s výr.vzn.zprac.prod.rostl.výr.-Zahr.rozvoj.spolup.,Organizace trhu s výrobky vzniklými zpracováním produktů rostlinné výroby-Zahraniční rozvojová spolupráce
102231,Regul.trh výr.RV,Reg.trhu s výr.vzn.zprac.prod.rostl.výr.-Prevence soc.a krim,Organizace trhu s výrobky vzniklými zpracováním produktů rostlinné výroby-Program sociální prevence a prevence kriminality
102232,Regul.trh výr.RV,Reg.trhu s výr.vzn.zprac.prod.rostl.výr.-Protidrog.politika,Organizace trhu s výrobky vzniklými zpracováním produktů rostlinné výroby-Program protidrogové politiky
102233,Regul.trh výr.RV,Reg.trhu s výr.vzn.zprac.prod.rostl.výr.-Integr.romské kom.,Organizace trhu s výrobky vzniklými zpracováním produktů rostlinné výroby-Podpora projektů integrace příslušníků romské komunity
102234,Regul.trh výr.RV,Reg.trhu s výr.vzn.zprac.prod.rostl.výr.-Příprava kriz.sit.,Organizace trhu s výrobky vzniklými zpracováním produktů rostlinné výroby-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1023,Regul.trhu ŽV,Organizace trhu s produkty živočišné výroby,Organizace trhu s produkty živočišné výroby
102300,Regul.trhu ŽV,Organizace trhu s produkty živočišné výroby,Organizace trhu s produkty živočišné výroby
102330,Regul.trhu ŽV,Org. trhu s produkty živočišné výroby-Zahr.rozvoj.spolup.,Organizace trhu s produkty živočišné výroby-Zahraniční rozvojová spolupráce
102331,Regul.trhu ŽV,Org. trhu s produkty živočišné výroby-Prevence soc.a krim,Organizace trhu s produkty živočišné výroby-Program sociální prevence a prevence kriminality
102332,Regul.trhu ŽV,Org. trhu s produkty živočišné výroby-Protidrog.politika,Organizace trhu s produkty živočišné výroby-Program protidrogové politiky
102333,Regul.trhu ŽV,Org. trhu s produkty živočišné výroby-Integr.romské kom.,Organizace trhu s produkty živočišné výroby-Podpora projektů integrace příslušníků romské komunity
102334,Regul.trhu ŽV,Org. trhu s produkty živočišné výroby-Příprava kriz.sit.,Organizace trhu s produkty živočišné výroby-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1024,Regul.trh výr.ŽV,Reg.trhu s výr.vzniklými zprac.prod.živoč.výroby,Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby
102400,Regul.trh výr.ŽV,Reg.trhu s výr.vzniklými zprac.prod.živoč.výroby,Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby
102430,Regul.trh výr.ŽV,Reg.trhu s výr.vzn.zprac.prod.živoč.výr.-Zahr.rozvoj.spolup.,Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby-Zahraniční rozvojová spolupráce
102431,Regul.trh výr.ŽV,Reg.trhu s výr.vzn.zprac.prod.živoč.výr.-Prevence soc.a krim,Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby-Program sociální prevence a prevence kriminality
102432,Regul.trh výr.ŽV,Reg.trhu s výr.vzn.zprac.prod.živoč.výr.-Protidrog.politika,Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby-Program protidrogové politiky
102433,Regul.trh výr.ŽV,Reg.trhu s výr.vzn.zprac.prod.živoč.výr.-Integr.romské kom.,Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby-Podpora projektů integrace příslušníků romské komunity
102434,Regul.trh výr.ŽV,Reg.trhu s výr.vzn.zprac.prod.živoč.výr.-Příprava kriz.sit.,Organizace trhu s výrobky vzniklými zpracováním produktů živočišné výroby-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1029,Ost.reg. zem.výr,Ostatní zál. regulace zem. výroby,"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor"
102900,Ost.reg. zem.výr,Ostatní zál. regulace zem. výroby,"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor"
102930,Ost.reg. zem.výr,Ostatní zál. regulace zem. výroby-Zahr.rozvoj.spolup.,"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor-Zahraniční rozvojová spolupráce"
102931,Ost.reg. zem.výr,Ostatní zál. regulace zem. výroby-Prevence soc.a krim,"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor-Program sociální prevence a prevence kriminality"
102932,Ost.reg. zem.výr,Ostatní zál. regulace zem. výroby-Protidrog.politika,"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor-Program protidrogové politiky"
102933,Ost.reg. zem.výr,Ostatní zál. regulace zem. výroby-Integr.romské kom.,"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor-Podpora projektů integrace příslušníků romské komunity"
102934,Ost.reg. zem.výr,Ostatní zál. regulace zem. výroby-Příprava kriz.sit.,"Ostatní záležitosti regulace zemědělské produkce, organizace zemědělského trhu a poskytování podpor-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb."
103,Lesní hospodářství,Lesní hospodářství,Lesní hospodářství
1031,Pěstební činnost,Pěstební činnost,Pěstební činnost
103100,Pěstební činnost,Pěstební činnost,Pěstební činnost
103130,Pěstební činnost,Pěstební činnost-Zahr.rozvoj.spolup.,Pěstební činnost-Zahraniční rozvojová spolupráce
103131,Pěstební činnost,Pěstební činnost-Prevence soc.a krim,Pěstební činnost-Program sociální prevence a prevence kriminality
103132,Pěstební činnost,Pěstební činnost-Protidrog.politika,Pěstební činnost-Program protidrogové politiky
103133,Pěstební činnost,Pěstební činnost-Integr.romské kom.,Pěstební činnost-Podpora projektů integrace příslušníků romské komunity
103134,Pěstební činnost,Pěstební činnost-Příprava kriz.sit.,Pěstební činnost-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1032,Podpora ost.čin.,Podpora ostatních produkčních činností,Podpora ostatních produkčních činností
103200,Podpora ost.čin.,Podpora ostatních produkčních činností,Podpora ostatních produkčních činností
103230,Podpora ost.čin.,Podpora ostatních produkčních činností-Zahr.rozvoj.spolup.,Podpora ostatních produkčních činností-Zahraniční rozvojová spolupráce
103231,Podpora ost.čin.,Podpora ostatních produkčních činností-Prevence soc.a krim,Podpora ostatních produkčních činností-Program sociální prevence a prevence kriminality
103232,Podpora ost.čin.,Podpora ostatních produkčních činností-Protidrog.politika,Podpora ostatních produkčních činností-Program protidrogové politiky
103233,Podpora ost.čin.,Podpora ostatních produkčních činností-Integr.romské kom.,Podpora ostatních produkčních činností-Podpora projektů integrace příslušníků romské komunity
103234,Podpora ost.čin.,Podpora ostatních produkčních činností-Příprava kriz.sit.,Podpora ostatních produkčních činností-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1036,Správa les.hosp.,Správa v lesním hospodářství,Správa v lesním hospodářství
103600,Správa les.hosp.,Správa v lesním hospodářství,Správa v lesním hospodářství
103630,Správa les.hosp.,Správa v lesním hospodářství-Zahr.rozvoj.spolup.,Správa v lesním hospodářství-Zahraniční rozvojová spolupráce
103631,Správa les.hosp.,Správa v lesním hospodářství-Prevence soc.a krim,Správa v lesním hospodářství-Program sociální prevence a prevence kriminality
103632,Správa les.hosp.,Správa v lesním hospodářství-Protidrog.politika,Správa v lesním hospodářství-Program protidrogové politiky
103633,Správa les.hosp.,Správa v lesním hospodářství-Integr.romské kom.,Správa v lesním hospodářství-Podpora projektů integrace příslušníků romské komunity
103634,Správa les.hosp.,Správa v lesním hospodářství-Příprava kriz.sit.,Správa v lesním hospodářství-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1037,Celosp.fce lesů,Celospolečenské funkce lesů,Celospolečenské funkce lesů
103700,Celosp.fce lesů,Celospolečenské funkce lesů,Celospolečenské funkce lesů
103730,Celosp.fce lesů,Celospolečenské funkce lesů-Zahr.rozvoj.spolup.,Celospolečenské funkce lesů-Zahraniční rozvojová spolupráce
103731,Celosp.fce lesů,Celospolečenské funkce lesů-Prevence soc.a krim,Celospolečenské funkce lesů-Program sociální prevence a prevence kriminality
103732,Celosp.fce lesů,Celospolečenské funkce lesů-Protidrog.politika,Celospolečenské funkce lesů-Program protidrogové politiky
103733,Celosp.fce lesů,Celospolečenské funkce lesů-Integr.romské kom.,Celospolečenské funkce lesů-Podpora projektů integrace příslušníků romské komunity
103734,Celosp.fce lesů,Celospolečenské funkce lesů-Příprava kriz.sit.,Celospolečenské funkce lesů-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1039,Ost. les. hosp.,Ostatní záležitosti lesního hospodářství,Ostatní záležitosti lesního hospodářství
103900,Ost. les. hosp.,Ostatní záležitosti lesního hospodářství,Ostatní záležitosti lesního hospodářství
103930,Ost. les. hosp.,Ostatní záležitosti lesního hospodářství-Zahr.rozvoj.spolup.,Ostatní záležitosti lesního hospodářství-Zahraniční rozvojová spolupráce
103931,Ost. les. hosp.,Ostatní záležitosti lesního hospodářství-Prevence soc.a krim,Ostatní záležitosti lesního hospodářství-Program sociální prevence a prevence kriminality
103932,Ost. les. hosp.,Ostatní záležitosti lesního hospodářství-Protidrog.politika,Ostatní záležitosti lesního hospodářství-Program protidrogové politiky
103933,Ost. les. hosp.,Ostatní záležitosti lesního hospodářství-Integr.romské kom.,Ostatní záležitosti lesního hospodářství-Podpora projektů integrace příslušníků romské komunity
103934,Ost. les. hosp.,Ostatní záležitosti lesního hospodářství-Příprava kriz.sit.,Ostatní záležitosti lesního hospodářství-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
106,Správa v zemědělství,Správa v zemědělství,Správa v zemědělství
1061,ÚOSS v zem.,Činnost ústředního orgánu státní správy v zeměděl.,Činnost ústředního orgánu státní správy v zemědělství
106100,ÚOSS v zem.,Činnost ústředního orgánu státní správy v zeměděl.,Činnost ústředního orgánu státní správy v zemědělství
106130,ÚOSS v zem.,Činnost ústř.org. stát.správy v zeměděl.-Zahr.rozvoj.spolup.,Činnost ústředního orgánu státní správy v zemědělství-Zahraniční rozvojová spolupráce
106131,ÚOSS v zem.,Činnost ústř.org. stát.správy v zeměděl.-Prevence soc.a krim,Činnost ústředního orgánu státní správy v zemědělství-Program sociální prevence a prevence kriminality
106132,ÚOSS v zem.,Činnost ústř.org. stát.správy v zeměděl.-Protidrog.politika,Činnost ústředního orgánu státní správy v zemědělství-Program protidrogové politiky
106133,ÚOSS v zem.,Činnost ústř.org. stát.správy v zeměděl.-Integr.romské kom.,Činnost ústředního orgánu státní správy v zemědělství-Podpora projektů integrace příslušníků romské komunity
106134,ÚOSS v zem.,Činnost ústř.org. stát.správy v zeměděl.-Příprava kriz.sit.,Činnost ústředního orgánu státní správy v zemědělství-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1062,Ost.OSS v zem.,Činnost ostatních orgánů správy v zemědělství,Činnost ostatních orgánů státní správy v zemědělství
106200,Ost.OSS v zem.,Činnost ostatních orgánů správy v zemědělství,Činnost ostatních orgánů státní správy v zemědělství
106230,Ost.OSS v zem.,Činnost ost.orgánů správy v zemědělství-Zahr.rozvoj.spolup.,Činnost ostatních orgánů státní správy v zemědělství-Zahraniční rozvojová spolupráce
106231,Ost.OSS v zem.,Činnost ost.orgánů správy v zemědělství-Prevence soc.a krim,Činnost ostatních orgánů státní správy v zemědělství-Program sociální prevence a prevence kriminality
106232,Ost.OSS v zem.,Činnost ost.orgánů správy v zemědělství-Protidrog.politika,Činnost ostatních orgánů státní správy v zemědělství-Program protidrogové politiky
106233,Ost.OSS v zem.,Činnost ost.orgánů správy v zemědělství-Integr.romské kom.,Činnost ostatních orgánů státní správy v zemědělství-Podpora projektů integrace příslušníků romské komunity
106234,Ost.OSS v zem.,Činnost ost.orgánů správy v zemědělství-Příprava kriz.sit.,Činnost ostatních orgánů státní správy v zemědělství-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1063,Správa zem.maj.,Správa zemědělského majetku,Správa zemědělského majetku
106300,Správa zem.maj.,Správa zemědělského majetku,Správa zemědělského majetku
106330,Správa zem.maj.,Správa zemědělského majetku-Zahr.rozvoj.spolup.,Správa zemědělského majetku-Zahraniční rozvojová spolupráce
106331,Správa zem.maj.,Správa zemědělského majetku-Prevence soc.a krim,Správa zemědělského majetku-Program sociální prevence a prevence kriminality
106332,Správa zem.maj.,Správa zemědělského majetku-Protidrog.politika,Správa zemědělského majetku-Program protidrogové politiky
106333,Správa zem.maj.,Správa zemědělského majetku-Integr.romské kom.,Správa zemědělského majetku-Podpora projektů integrace příslušníků romské komunity
106334,Správa zem.maj.,Správa zemědělského majetku-Příprava kriz.sit.,Správa zemědělského majetku-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1069,Ost.správa zem.,Ostatní správa v zemědělství,Ostatní správa v zemědělství
106900,Ost.správa zem.,Ostatní správa v zemědělství,Ostatní správa v zemědělství
106930,Ost.správa zem.,Ostatní správa v zemědělství-Zahr.rozvoj.spolup.,Ostatní správa v zemědělství-Zahraniční rozvojová spolupráce
106931,Ost.správa zem.,Ostatní správa v zemědělství-Prevence soc.a krim,Ostatní správa v zemědělství-Program sociální prevence a prevence kriminality
106932,Ost.správa zem.,Ostatní správa v zemědělství-Protidrog.politika,Ostatní správa v zemědělství-Program protidrogové politiky
106933,Ost.správa zem.,Ostatní správa v zemědělství-Integr.romské kom.,Ostatní správa v zemědělství-Podpora projektů integrace příslušníků romské komunity
106934,Ost.správa zem.,Ostatní správa v zemědělství-Příprava kriz.sit.,Ostatní správa v zemědělství-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
107,Rybářství,Rybářství,Rybářství
1070,Rybářství,Rybářství,Rybářství
107000,Rybářství,Rybářství,Rybářství
107030,Rybářství,Rybářství-Zahr.rozvoj.spolup.,Rybářství-Zahraniční rozvojová spolupráce
107031,Rybářství,Rybářství-Prevence soc.a krim,Rybářství-Program sociální prevence a prevence kriminality
107032,Rybářství,Rybářství-Protidrog.politika,Rybářství-Program protidrogové politiky
107033,Rybářství,Rybářství-Integr.romské kom.,Rybářství-Podpora projektů integrace příslušníků romské komunity
107034,Rybářství,Rybářství-Příprava kriz.sit.,Rybářství-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
108,Zeměď.lesnic.VaV,Zemědělský a lesnický výzkum a vývoj,Zemědělský a lesnický výzkum a vývoj
1081,Zem.výzk+výv.,Zemědělský výzkum a vývoj,Zemědělský výzkum a vývoj
108100,Zem.výzk+výv.,Zemědělský výzkum a vývoj,Zemědělský výzkum a vývoj
108110,Zem.výzk+výv.,Zemědělský výzkum a vývoj-Inst.podp.výzk.org.,Zemědělský výzkum a vývoj-Institucionální podpora výzkumných organizací podle zhodnocení jimi dosažených výsledků            
108111,Zem.výzk+výv.,Zemědělský výzkum a vývoj-Inst.podp.mezinár.,Zemědělský výzkum a vývoj-Institucionální podpora na mezinárodní spolupráci ČR ve výzkumu a vývoji
108119,Zem.výzk+výv.,Zemědělský výzkum a vývoj-Ostat.instit.podp.,Zemědělský výzkum a vývoj-Ostatní institucionální (dopočet do PU)
108120,Zem.výzk+výv.,Zemědělský výzkum a vývoj-Účel.podp.apl.VaVaI,"Zemědělský výzkum a vývoj-Účelová podpora na programy aplikovaného výzkumu, vývoje a inovací"
108121,Zem.výzk+výv.,Zemědělský výzkum a vývoj-Účel.podp.VŠ výzkum,Zemědělský výzkum a vývoj-Účelová podpora na specifický vysokoškolský výzkum
108129,Zem.výzk+výv.,Zemědělský výzkum a vývoj-Ostat.účel.podpora,Zemědělský výzkum a vývoj-Ostatní účelová podpora (dopočet do PU)
1082,Lesnický výzkum,Lesnický výzkum,Lesnický výzkum
108200,Lesnický výzkum,Lesnický výzkum,Lesnický výzkum
108210,Lesnický výzkum,Lesnický výzkum-Inst.podp.výzk.org.,Lesnický výzkum-Institucionální podpora výzkumných organizací podle zhodnocení jimi dosažených výsledků            
108211,Lesnický výzkum,Lesnický výzkum-Inst.podp.mezinár.,Lesnický výzkum-Institucionální podpora na mezinárodní spolupráci ČR ve výzkumu a vývoji
108219,Lesnický výzkum,Lesnický výzkum-Ostat.instit.podp.,Lesnický výzkum-Ostatní institucionální (dopočet do PU)
108220,Lesnický výzkum,Lesnický výzkum-Účel.podp.apl.VaVaI,"Lesnický výzkum-Účelová podpora na programy aplikovaného výzkumu, vývoje a inovací"
108221,Lesnický výzkum,Lesnický výzkum-Účel.podp.VŠ výzkum,Lesnický výzkum-Účelová podpora na specifický vysokoškolský výzkum
108229,Lesnický výzkum,Lesnický výzkum-Ostat.účel.podpora,Lesnický výzkum-Ostatní účelová podpora (dopočet do PU)
109,Ost.činn.nesp.výdaje,Ostatní činnost a nespecifikované výdaje,Ostatní činnost a nespecifikované výdaje
1091,Mez.spol.v zem.,Mezinárodní spolupráce v zemědělství,Mezinárodní spolupráce v zemědělství
109100,Mez.spol.v zem.,Mezinárodní spolupráce v zemědělství,Mezinárodní spolupráce v zemědělství
109130,Mez.spol.v zem.,Mezinárodní spolupráce v zemědělství-Zahr.rozvoj.spolup.,Mezinárodní spolupráce v zemědělství-Zahraniční rozvojová spolupráce
109131,Mez.spol.v zem.,Mezinárodní spolupráce v zemědělství-Prevence soc.a krim,Mezinárodní spolupráce v zemědělství-Program sociální prevence a prevence kriminality
109132,Mez.spol.v zem.,Mezinárodní spolupráce v zemědělství-Protidrog.politika,Mezinárodní spolupráce v zemědělství-Program protidrogové politiky
109133,Mez.spol.v zem.,Mezinárodní spolupráce v zemědělství-Integr.romské kom.,Mezinárodní spolupráce v zemědělství-Podpora projektů integrace příslušníků romské komunity
109134,Mez.spol.v zem.,Mezinárodní spolupráce v zemědělství-Příprava kriz.sit.,Mezinárodní spolupráce v zemědělství-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1092,MezSpPr les.hosp,Mezinárodní spolupráce v lesním hospodářství,Mezinárodní spolupráce v lesním hospodářství
109200,MezSpPr les.hosp,Mezinárodní spolupráce v lesním hospodářství,Mezinárodní spolupráce v lesním hospodářství
109230,MezSpPr les.hosp,Mezin.spolupráce v lesním hospodářství-Zahr.rozvoj.spolup.,Mezinárodní spolupráce v lesním hospodářství-Zahraniční rozvojová spolupráce
109231,MezSpPr les.hosp,Mezin.spolupráce v lesním hospodářství-Prevence soc.a krim,Mezinárodní spolupráce v lesním hospodářství-Program sociální prevence a prevence kriminality
109232,MezSpPr les.hosp,Mezin.spolupráce v lesním hospodářství-Protidrog.politika,Mezinárodní spolupráce v lesním hospodářství-Program protidrogové politiky
109233,MezSpPr les.hosp,Mezin.spolupráce v lesním hospodářství-Integr.romské kom.,Mezinárodní spolupráce v lesním hospodářství-Podpora projektů integrace příslušníků romské komunity
109234,MezSpPr les.hosp,Mezin.spolupráce v lesním hospodářství-Příprava kriz.sit.,Mezinárodní spolupráce v lesním hospodářství-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
1098,OstV zemědělství,Ostatní výdaje na zemědělství,Ostatní výdaje na zemědělství
109800,OstV zemědělství,Ostatní výdaje na zemědělství,Ostatní výdaje na zemědělství
109830,OstV zemědělství,Ostatní výdaje na zemědělství-Zahr.rozvoj.spolup.,Ostatní výdaje na zemědělství-Zahraniční rozvojová spolupráce
